bot_type,n_games,avg_llm_calls,avg_tokens_per_game,avg_cost_per_game_usd,total_cost_usd,projected_100game_cost_usd
LLMBot,50,32.8,18867.0,0.1698,8.49,16.98
RAGBot (rules),50,23.9,30701.0,0.27631,13.8154,27.63
RAGBot (strategy),48,39.6,46590.0,0.41931,20.1269,41.93
